UMAP_1	UMAP_2	cluster	orig.ident	nFeature_RNA	nCount_RNA	percent.mt	SCGB1A1	IGLC1	IGHG1	IGHD	SCGB3A2	SCGB3A1	IGHG3	IGHA1	BPIFB1	C9orf24	IGKC	CXCL8	TPPP3	COL3A1	RSPH1	COL1A1	IL6	MSMB	JCHAIN	TSPAN1
9.03653517338278	1.4395016768447	ncMonocyte	lung	333	390	4.87179487179487	0	0	0	0	0	0	0	0	0	0	3.28245234496958	0	0	0	0	0	0	0	0	0
-5.84141215709207	-9.10974064083184	Myofibroblast	lung	425	544	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96436300988635	0	0	2.96436300988635	0	0	0	0
-8.30992993739603	-4.14302625866021	Myofibroblast	lung	264	331	0.906344410876133	0	0	0	0	0	0	0	0	0	0	0	3.44078598747238	0	4.11778371842716	0	0	0	0	0	0
5.87889757725241	-5.18687191219415	Macrophage Alveolar	lung	366	475	2.31578947368421	3.0934319407557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0934319407557	0	0	0	0
4.48075762363913	14.8784366586677	Ciliated	lung	615	722	1.93905817174515	0	0	0	0	0	0	0	0	0	2.69802784549466	0	0	3.35692607791887	0	4.03249862703899	0	0	0	0	2.69802784549466
-3.74252948192117	-2.26780333728875	Pericytes	lung	365	498	1.20481927710843	0	0	0	0	0	0	0	0	0	0	0	4.61908893349415	0	0	0	3.71748252236686	3.71748252236686	0	0	0
-6.58913335231302	-8.7929014226922	Myofibroblast	lung	394	551	1.27041742286751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2.74951943782327	3.78207764415656	AT2	lung	325	409	4.88997555012225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.21244344142435	-7.62051811428155	Myofibroblast	lung	425	563	1.24333925399645	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93183297968347	0	0	0	0	0	0
8.35416784855368	-3.37362923832025	Macrophage Alveolar	lung	822	1370	0.218978102189781	0	0	0	0	0	0	0	0	0	0	0	2.11616756792241	0	0	0	0	0	0	0	0
0.943414956059477	0.44794412343417	Mast	lung	341	433	0.46189376443418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.50811138721945	5.00420436649238	ncMonocyte	lung	268	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5.35344496342184	-1.71759190769281	AT2	lung	1989	4397	0.432112804184671	7.06084564834904	0	0	0	0	4.26973402832612	0	0	4.23741028028694	0	0	2.0570468610754	0	0	0	0	0	3.25875236462695	0	1.71353768372174
6.93356934162619	-4.63029470653619	Macrophage Alveolar	lung	2009	4798	0.125052105043768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-9.53284463313577	-2.76580777378167	Myofibroblast	lung	447	631	0.316957210776545	0	0	0	0	0	0	0	0	0	0	0	0	0	3.88246198448367	0	2.82422367774739	0	0	2.82422367774739	0
-3.31022796061991	10.4919639566413	Lymphatic	lung	401	483	0.82815734989648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.68448725315573	15.1537557580939	Ciliated	lung	736	953	0.314795383001049	0	0	0	0	0	0	0	0	0	4.31015806133817	0	0	5.0651089054138	0	4.1582434507166	0	0	0	0	3.97904401451937
-1.94955047992227	8.90761146335517	Lymphatic	lung	366	419	0.715990453460621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
